,Brain,Gills,Heart,Muscle,Liver,Kidney,Bones,Intestine,Embryo,Ovary,Testis
ENSLOCG00000004484,2.774374,4.640266,4.716433,1.074578,2.142437,6.185974,6.784903,9.39658,17.962043,31.159022,44.754604
118212198,1.786616,4.577331,1.768672,0.912838,0.302516,4.978544,0.440032,2.181643,NA,22.001126,11.879764
118206528,0.933335,0.190924,0.335215,1.619819,0.157668,0.580136,0.902889,5.158569,NA,196.553328,28.732953
AMCG00018729,4.064404,5.411946,9.919712,13.064032,1.578464,1.657383,17.822121,12.48341,NA,108.577766,10.655316
AALOG00069140,12.151646,5.448964,2.044555,3.103991,0.224576,1.594825,2.324821,2.3559,5.418564,33.807269,57.058909
113542644,14.01168,18.48709,5.246308,0.685527,2.144843,16.39483,9.304491,21.606335,16.768376,96.02476,67.319695
ENSAMXG00000037685,6.548402,6.525732,1.790057,0.388436,1.819961,1.983086,3.811146,1.49425,27.641671,36.643271,63.987975
ENSDARG00000042527,2.158609,5.903611,0.788076,5.34698,0.220104,34.556673,10.304828,3.590341,28.728275,87.710209,86.562657
UPYGG00183730,15.238648,4.236915,5.911235,2.437288,1.31548,12.802462,31.70137,20.817694,NA,63.417933,87.266282
ENSELUG00000012734,27.223881,21.171312,16.520653,19.099398,7.335472,28.739087,22.378434,15.262214,28.186998,105.029891,80.360365
115200221,5.449946,6.692267,6.507616,0.765397,5.696973,15.007656,2.343523,4.506563,20.557438,56.01903,63.326906
110536120,5.199648,9.06386,2.632328,0.805724,3.385864,23.797707,3.098638,8.863663,NA,20.448456,NA
ENSGMOG00000014420,9.686904,14.829822,11.093987,1.443804,8.226388,11.561087,9.765539,8.801015,12.295426,83.740231,275.15985
ENSORLG00000007126,6.389943,12.01085,6.927004,0.832215,0.369182,13.204389,6.067961,7.826384,33.471583,54.721915,89.1353