date,male,female,total_eggs,unfertilized_eggs
20240103,unga,unga,32,13
20240112,unga,unga,41,10
20240912,unga,unga,81,25
20240213,unga,unga,26,14
20240907,unga,unga,89,48
20240930,unga,unga,71,17
20240109,unga,unga,13,11
20240115,unga,unga,87,52
20240909,unga,unga,134,35
20241002,unga,unga,72,20
20241007,unga,unga,88,61
20240912,unga,wt,64,39
20240912,wt,unga,75,3
20240918,wt,wt,36,3
20240909,wt,wt,27,2
20240916,unga,unga,193,85
20250527,unga,wt,18,7
20250527,unga,wt,36,16
20250527,unga,wt,24,12
20250527,unga,wt,36,9
20250527,unga,wt,35,24
20250527,wt,unga,75,3
20250527,wt,unga,72,10
20250527,wt,unga,34,2
20250527,wt,wt,61,0
20250527,wt,wt,60,7
20250527,wt,wt,34,5
20250527,wt,wt,33,4